power,count
"455 hp @ 5,250 RPM",46
"161 hp @ 5,700 RPM",46
"240 hp @ 3,500 RPM",46
"247 hp @ 5,750 RPM",46
"396 hp @ 6,100 RPM",46
"245 hp @ 5,200 RPM",46
"265 hp @ 4,200 RPM",46
"201 hp @ 5,600 RPM",45
"252 hp @ 6,100 RPM",44
"720 hp @ 7,500 RPM",44
"400 hp @ 7,400 RPM",44
"224 hp @ 6,250 RPM",43
"200 hp @ 5,800 RPM",43
"563 hp @ 5,250 RPM",43
"108 hp @ 6,400 RPM",43
"717 hp @ 6,000 RPM",43
"552 hp @ 6,100 RPM",43
"191 hp @ 6,000 RPM",43
"292 hp @ 5,400 RPM",42
"333 hp @ 6,400 RPM",42
"350 hp @ 3,013 RPM",42
"503 hp @ 5,950 RPM",41
"345 hp @ 5,600 RPM",41
"241 hp @ 5,800 RPM",41
"241 hp @ 5,700 RPM",41
"200 hp @ 7,000 RPM",41
"100 hp @ 6,000 RPM",41
"306 hp @ 6,500 RPM",41
"372 hp @ 5,200 RPM",41
"325 hp @ 5,600 RPM",41
"70 hp @ 5,800 RPM",40
"74 hp @ 6,000 RPM",40
"230 hp @ 6,400 RPM",40
"302 hp @ 5,650 RPM",40
"263 hp @ 6,400 RPM",39
"425 hp @ 6,200 RPM",39
"797 hp @ 6,300 RPM",39
"255 hp @ 5,600 RPM",39
"370 hp @ 6,500 RPM",39
"352 hp @ 5,400 RPM",38
"450 hp @ 5,100 RPM",38
"174 hp @ 3,500 RPM",38
"150 hp @ 5,700 RPM",38
"271 hp @ 5,400 RPM",38
"360 hp @ 6,300 RPM",38
"541 hp @ 5,750 RPM",38
"282 hp @ 5,400 RPM",37
"377 hp @ 6,500 RPM",37
"227 hp @ 5,700 RPM",37
"575 hp @ 6,000 RPM",37
"350 hp @ 6,500 RPM",37
"240 hp @ 6,250 RPM",37
"168 hp @ 5,600 RPM",36
"230 hp @ 6,300 RPM",36
"201 hp @ 5,900 RPM",36
"577 hp @ 6,250 RPM",36
"330 hp @ 5,000 RPM",36
"199 hp @ 6,000 RPM",36
"603 hp @ 5,500 RPM",36
500 hp @ 600 RPM,36
"350 hp @ 7,400 RPM",36
"227 hp @ 5,000 RPM",36
"130 hp @ 5,300 RPM",35
"199 hp @ 5,500 RPM",35
"290 hp @ 5,600 RPM",35
"155 hp @ 4,900 RPM",35
"265 hp @ 5,600 RPM",35
"240 hp @ 6,600 RPM",35
