torque,count
"553 lb-ft @ 2,200 RPM",93
"242 lb-ft @ 4,400 RPM",93
"295 lb-ft @ 3,200 RPM",93
"222 lb-ft @ 4,400 RPM",92
"460 lb-ft @ 1,600 RPM",92
"250 lb-ft @ 3,800 RPM",92
"240 lb-ft @ 3,600 RPM",91
"479 lb-ft @ 1,750 RPM",91
"429 lb-ft @ 4,000 RPM",91
"169 lb-ft @ 4,400 RPM",89
"253 lb-ft @ 3,500 RPM",89
"131 lb-ft @ 4,700 RPM",88
"110 lb-ft @ 4,500 RPM",88
"334 lb-ft @ 4,500 RPM",88
"320 lb-ft @ 4,500 RPM",88
"424 lb-ft @ 4,600 RPM",88
"152 lb-ft @ 4,200 RPM",87
"273 lb-ft @ 5,200 RPM",87
"195 lb-ft @ 1,750 RPM",87
"177 lb-ft @ 5,200 RPM",86
"260 lb-ft @ 1,400 RPM",86
"413 lb-ft @ 1,500 RPM",86
"369 lb-ft @ 1,520 RPM",85
"287 lb-ft @ 4,100 RPM",83
"247 lb-ft @ 4,300 RPM",82
"450 lb-ft @ 4,100 RPM",81
"280 lb-ft @ 1,750 RPM",81
"561 lb-ft @ 3,000 RPM",81
"405 lb-ft @ 1,800 RPM",81
"246 lb-ft @ 4,400 RPM",81
"750 lb-ft @ 2,000 RPM",80
"226 lb-ft @ 3,500 RPM",79
"125 lb-ft @ 4,400 RPM",79
"156 lb-ft @ 4,250 RPM",79
"650 lb-ft @ 4,000 RPM",79
"320 lb-ft @ 3,400 RPM",78
"502 lb-ft @ 1,500 RPM",77
"183 lb-ft @ 4,000 RPM",77
"272 lb-ft @ 2,000 RPM",77
"406 lb-ft @ 1,350 RPM",76
"322 lb-ft @ 4,000 RPM",76
"214 lb-ft @ 3,500 RPM",76
"278 lb-ft @ 3,700 RPM",76
"590 lb-ft @ 2,000 RPM",75
"221 lb-ft @ 2,500 RPM",75
"207 lb-ft @ 4,500 RPM",75
"295 lb-ft @ 1,700 RPM",73
"369 lb-ft @ 3,500 RPM",73
"266 lb-ft @ 2,500 RPM",73
"332 lb-ft @ 1,750 RPM",73
"225 lb-ft @ 4,000 RPM",73
"156 lb-ft @ 1,400 RPM",73
"155 lb-ft @ 4,000 RPM",72
"171 lb-ft @ 4,400 RPM",72
"227 lb-ft @ 3,800 RPM",72
"240 lb-ft @ 2,000 RPM",72
"315 lb-ft @ 3,400 RPM",72
"425 lb-ft @ 3,250 RPM",71
"215 lb-ft @ 4,000 RPM",71
"156 lb-ft @ 6,400 RPM",70
"245 lb-ft @ 4,000 RPM",69
"244 lb-ft @ 4,000 RPM",69
"277 lb-ft @ 4,000 RPM",67
"229 lb-ft @ 3,000 RPM",67
"257 lb-ft @ 4,500 RPM",67
"191 lb-ft @ 4,000 RPM",66
"305 lb-ft @ 3,600 RPM",66
"407 lb-ft @ 4,200 RPM",65
"186 lb-ft @ 4,400 RPM",65
"335 lb-ft @ 3,200 RPM",65
"114 lb-ft @ 4,800 RPM",65
"152 lb-ft @ 4,250 RPM",65
"258 lb-ft @ 4,400 RPM",64
"330 lb-ft @ 1,400 RPM",64
"167 lb-ft @ 4,500 RPM",64
"300 lb-ft @ 3,200 RPM",64
"148 lb-ft @ 4,500 RPM",63
"370 lb-ft @ 4,200 RPM",63
"339 lb-ft @ 3,500 RPM",63
"164 lb-ft @ 4,250 RPM",63
"280 lb-ft @ 5,400 RPM",63
"160 lb-ft @ 3,600 RPM",63
"265 lb-ft @ 4,200 RPM",63
"275 lb-ft @ 4,800 RPM",62
172 lb-ft @ 233 RPM,62
"234 lb-ft @ 3,200 RPM",61
"105 lb-ft @ 4,800 RPM",61
"561 lb-ft @ 1,750 RPM",61
"443 lb-ft @ 1,750 RPM",60
"243 lb-ft @ 3,000 RPM",59
"175 lb-ft @ 3,500 RPM",59
"106 lb-ft @ 4,500 RPM",59
"200 lb-ft @ 1,600 RPM",59
"369 lb-ft @ 1,650 RPM",59
"368 lb-ft @ 1,700 RPM",58
"347 lb-ft @ 4,100 RPM",58
"305 lb-ft @ 4,600 RPM",58
"502 lb-ft @ 3,500 RPM",58
"390 lb-ft @ 4,000 RPM",58
"664 lb-ft @ 2,250 RPM",58
"465 lb-ft @ 4,200 RPM",57
"133 lb-ft @ 4,500 RPM",57
"275 lb-ft @ 4,900 RPM",57
"285 lb-ft @ 4,000 RPM",57
"444 lb-ft @ 1,500 RPM",57
"300 lb-ft @ 3,950 RPM",57
